name,class_name,jar_path,function_name,synthesis_result,final_status,error_summary
AliasDarteFeautrierGonnordSAS2010wise,AliasDarteFeautrierGonnordSAS2010wise,/home/benchmarking/termination-crafted-lit/AliasDarteFeautrierGonnord-SAS2010-wise/AliasDarteFeautrierGonnordSAS2010wise.jar,loop,Yes,Verified OK,
AveryFLOPS2006Table1,AveryFLOPS2006Table1,/home/benchmarking/termination-crafted-lit/Avery-FLOPS2006-Table1/AveryFLOPS2006Table1.jar,loop,Yes,Verified OK,
BradleyMannaSipmaCAV2005Fig1,BradleyMannaSipmaCAV2005Fig1,/home/benchmarking/termination-crafted-lit/BradleyMannaSipma-CAV2005-Fig1/BradleyMannaSipmaCAV2005Fig1.jar,loop,Yes,Verified OK,
BrockschmidtCookFuhsCAV2013Fig1,BrockschmidtCookFuhsCAV2013Fig1,/home/benchmarking/termination-crafted-lit/BrockschmidtCookFuhs-CAV2013-Fig1/BrockschmidtCookFuhsCAV2013Fig1.jar,loop,Yes,Verified OK,
BrockschmidtCookFuhsCAV2013Fig9a,BrockschmidtCookFuhsCAV2013Fig9a,/home/benchmarking/termination-crafted-lit/BrockschmidtCookFuhs-CAV2013-Fig9a/BrockschmidtCookFuhsCAV2013Fig9a.jar,loop,Yes,Verified OK,
BrockschmidtCookFuhsCAV2013Introduction,BrockschmidtCookFuhsCAV2013Introduction,/home/benchmarking/termination-crafted-lit/BrockschmidtCookFuhs-CAV2013-Introduction/BrockschmidtCookFuhsCAV2013Introduction.jar,loop,Yes,Verified OK,
ChawdharyCookGulwaniSagivYangESOP2008easy1,ChawdharyCookGulwaniSagivYangESOP2008easy1,/home/benchmarking/termination-crafted-lit/ChawdharyCookGulwaniSagivYang-ESOP2008-easy1/ChawdharyCookGulwaniSagivYangESOP2008easy1.jar,loop,Yes,Verified OK,
ChawdharyCookGulwaniSagivYangESOP2008easy2,ChawdharyCookGulwaniSagivYangESOP2008easy2,/home/benchmarking/termination-crafted-lit/ChawdharyCookGulwaniSagivYang-ESOP2008-easy2/ChawdharyCookGulwaniSagivYangESOP2008easy2.jar,loop,Yes,Verified OK,
ChawdharyCookGulwaniSagivYangESOP2008random1d,ChawdharyCookGulwaniSagivYangESOP2008random1d,/home/benchmarking/termination-crafted-lit/ChawdharyCookGulwaniSagivYang-ESOP2008-random1d/ChawdharyCookGulwaniSagivYangESOP2008random1d.jar,loop,Yes,Verified OK,
ChawdharyCookGulwaniSagivYangESOP2008random2d,ChawdharyCookGulwaniSagivYangESOP2008random2d,/home/benchmarking/termination-crafted-lit/ChawdharyCookGulwaniSagivYang-ESOP2008-random2d/ChawdharyCookGulwaniSagivYangESOP2008random2d.jar,loop,Yes,Verified OK,
ChenFlurMukhopadhyaySAS2012Ex220,ChenFlurMukhopadhyaySAS2012Ex220,/home/benchmarking/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex2.20/ChenFlurMukhopadhyaySAS2012Ex220.jar,loop,Yes,Verified OK,
ChenFlurMukhopadhyaySAS2012Ex301,ChenFlurMukhopadhyaySAS2012Ex301,/home/benchmarking/termination-crafted-lit/ChenFlurMukhopadhyay-SAS2012-Ex3.01/ChenFlurMukhopadhyaySAS2012Ex301.jar,loop,Yes,Verified OK,
CookSeeZulegerTACAS2013Fig1,CookSeeZulegerTACAS2013Fig1,/home/benchmarking/termination-crafted-lit/CookSeeZuleger-TACAS2013-Fig1/CookSeeZulegerTACAS2013Fig1.jar,loop,Yes,Verified OK,
CookSeeZulegerTACAS2013Fig7a,CookSeeZulegerTACAS2013Fig7a,/home/benchmarking/termination-crafted-lit/CookSeeZuleger-TACAS2013-Fig7a/CookSeeZulegerTACAS2013Fig7a.jar,loop,Yes,Verified OK,
CookSeeZulegerTACAS2013Fig7b,CookSeeZulegerTACAS2013Fig7b,/home/benchmarking/termination-crafted-lit/CookSeeZuleger-TACAS2013-Fig7b/CookSeeZulegerTACAS2013Fig7b.jar,loop,Yes,Verified OK,
CookSeeZulegerTACAS2013Fig8amodified,CookSeeZulegerTACAS2013Fig8amodified,/home/benchmarking/termination-crafted-lit/CookSeeZuleger-TACAS2013-Fig8a-modified/CookSeeZulegerTACAS2013Fig8amodified.jar,loop,Yes,Verified OK,
CookSeeZulegerTACAS2013Fig8a,CookSeeZulegerTACAS2013Fig8a,/home/benchmarking/termination-crafted-lit/CookSeeZuleger-TACAS2013-Fig8a/CookSeeZulegerTACAS2013Fig8a.jar,loop,Yes,Verified OK,
CookSeeZulegerTACAS2013Fig8b,CookSeeZulegerTACAS2013Fig8b,/home/benchmarking/termination-crafted-lit/CookSeeZuleger-TACAS2013-Fig8b/CookSeeZulegerTACAS2013Fig8b.jar,loop,Yes,Verified OK,
GopanRepsCAV2006Fig1a,GopanRepsCAV2006Fig1a,/home/benchmarking/termination-crafted-lit/GopanReps-CAV2006-Fig1a/GopanRepsCAV2006Fig1a.jar,loop,Yes,Verified OK,
HarrisLalNoriRajamaniSAS2010Fig1,HarrisLalNoriRajamaniSAS2010Fig1,/home/benchmarking/termination-crafted-lit/HarrisLalNoriRajamani-SAS2010-Fig1/HarrisLalNoriRajamaniSAS2010Fig1.jar,loop,No,LLM MaxFail,
